AI	3	9.43	0.37	4.08	1.11	-53.06	81.35	28.29	27.12
AIO	5	26.99	-0.05	-0.18	-0.25	12.39	122.56	134.95	24.51
AMD	1	557.68	39.86	7.70	39.86	436.15	121.53	557.68	121.53
AMZN	1	244.92	2.25	0.93	2.25	68.18	176.74	244.92	176.74
ARTY	2	72.72	1.63	2.29	3.26	79.25	66.19	145.44	33.10
BITC	1	36.25	-0.04	-0.11	-0.04	-36.62	72.87	36.25	72.87
BTX	20	8.7299	0.1299	1.51	2.60	26.30	148.30	174.60	7.42
CHAT	20	91.30	2.51	2.83	50.20	696.47	1129.53	1826.00	56.48
D	1	69.21	-0.54	-0.77	-0.54	13.49	55.72	69.21	55.72
DRAM	4	64.961	4.331	7.14	17.32	36.97	222.87	259.84	55.71
DUK	1	126.68	-2.92	-2.25	-2.92	15.13	111.55	126.68	111.55
EXEL	2	55.585	-0.265	-0.47	-0.53	67.44	43.73	111.17	21.86
FLNC	9	18.0301	1.0301	6.06	9.27	-33.51	195.78	162.27	21.75
GOOGL	1	364.23	4.32	1.20	4.32	200.90	163.33	364.23	163.33
HLX	4	8.605	0.065	0.76	0.26	-7.10	41.52	34.42	10.38
IBIT	1	36.065	1.195	3.43	1.20	-4.47	40.53	36.06	40.53
INTC	3	124.055	3.705	3.08	11.12	270.74	101.43	372.17	33.81
LRNZ	2	63.52	1.5972	2.58	3.19	58.36	68.68	127.04	0
LTRX	6	5.655	0.165	3.01	0.99	4.58	29.35	33.93	4.89
MSFT	1	386.08	-4.41	-1.13	-4.41	-21.94	408.02	386.08	408.02
MXL	4	99.90	6.78	7.28	27.12	225.09	174.51	399.60	43.63
NVDA	2	196.495	1.665	0.85	3.33	144.47	248.52	392.99	124.26
PATH	2	12.23	0.52	4.44	1.04	-17.21	41.67	24.46	20.83
ROBT	5	57.43	1.1751	2.09	5.88	36.32	250.83	287.15	50.16
SLV	2	55.89	0.87	1.58	1.74	21.33	90.45	111.78	45.23
SOUN	10	6.935	0.385	5.88	3.85	48.00	21.35	69.35	2.13
SPRX	2	52.20	1.46	2.88	2.92	56.54	47.86	104.40	23.93
SYM	2	43.95	1.21	2.83	2.42	7.92	79.98	87.90	39.99
TEM	2	61.015	0.745	1.24	1.49	-20.51	142.54	122.03	71.27
U	2	29.845	0.525	1.79	1.05	8.77	50.92	59.69	25.46
UPST	1	34.13	-0.65	-1.87	-0.65	9.61	24.52	34.13	24.52
WTAI	3	44.11	1.54	3.62	4.62	63.95	68.38	132.33	22.79
WULF	1	23.235	2.055	9.70	2.05	-1.93	25.16	23.24	25.16
XLE	4	53.225	0.005	0.01	0.02	31.08	181.82	212.90	45.46
XLF	1	55.955	0.335	0.60	0.34	6.78	49.17	55.96	49.17
XT	2	83.35	1.11	1.35	2.22	57.52	109.18	166.70	54.59
CASH	0	0	0	0	0	0	51.48	51.48	0
